,pval,lpval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
74686|KLF10,4.22439860869872E-14,-13.3742351090844,Homo sapiens,KLF10,tf,HepG2,Epithelium,Liver,1,KLF10
59004|JMJD1C,4.31321645066873E-14,-13.3651987470541,Homo sapiens,JMJD1C,predicted chromatin regulator,NB4,Promyelocytic cell,Blood,1,JMJD1C
48997|AFF4,4.6074255521944E-14,-13.3365416734789,Homo sapiens,AFF4,tf,HeLa,Epithelium,Cervix,1,AFF4
46235|HDAC2,5.79536418854332E-14,-13.2369192671887,Homo sapiens,HDAC2,cr,HepG2,Epithelium,Liver,1,HDAC2
56978|GTF2B,6.34492458573277E-14,-13.1975735354597,Homo sapiens,GTF2B,tf,HeLa,Epithelium,Cervix,1,GTF2B
62594|RFX1,6.56141807553468E-14,-13.1830022893097,Homo sapiens,RFX1,tf,K562,Erythroblast,Bone Marrow,1,RFX1
74357|NEUROD1,7.00550728538474E-14,-13.1545604109469,Homo sapiens,NEUROD1,tf,D-341,None,None,1,NEUROD1
43104|NOTCH1,7.19424519957101E-14,-13.1430147643204,Homo sapiens,NOTCH1,both predicted transcription factor and chromatin regulator,CUTLL1,T Lymphocyte,Blood,1,NOTCH1
45940|SMARCB1,7.32192084740291E-14,-13.1353749703086,Homo sapiens,SMARCB1,cr,K562,Erythroblast,Bone Marrow,1,SMARCB1
55543|RAG2,8.40438829641244E-14,-13.0754938906909,Homo sapiens,RAG2,cr,None,Thymocyte,None,1,RAG2
50414|KLF11,8.68194405256872E-14,-13.0613830171312,Homo sapiens,KLF11,tf,hMADS-3,Adipocyte,Adipose,1,KLF11
65071|KLF12,8.6985973979381E-14,-13.0605507693864,Homo sapiens,KLF12,,HEK293,Epithelium,Embryonic Kidney,1,KLF12
63155|GABP,9.75886038645513E-14,-13.0106008951172,Homo sapiens,GABP,,HepG2,Epithelium,Liver,1,GABP
70927|SUPT5H,1.01418873299508E-13,-12.9938812185024,Homo sapiens,SUPT5H,tf,BJAB,B Lymphocyte,None,1,SUPT5H
64278|ZNF592,1.02085007114283E-13,-12.9910380366169,Homo sapiens,ZNF592,,MCF-7,Epithelium,Breast,1,ZNF592
46302|SIX5,1.02917674382752E-13,-12.9875100360465,Homo sapiens,SIX5,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,SIX5
65192|ZBTB6,1.0502709812954E-13,-12.9786986337892,Homo sapiens,ZBTB6,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB6
46277|SIN3A,1.06081810002934E-13,-12.9743590788,Homo sapiens,SIN3A,tf,K562,Erythroblast,Bone Marrow,1,SIN3A
62530|ZNF175,1.27231558622043E-13,-12.8954051525596,Homo sapiens,ZNF175,,K562,Erythroblast,Bone Marrow,1,ZNF175
63441|ZNF24,1.35336186701807E-13,-12.8685860645726,Homo sapiens,ZNF24,,K562,Erythroblast,Bone Marrow,1,ZNF24
77117|ZNF445,1.37057032389976E-13,-12.8630986759231,Homo sapiens,ZNF445,tf,293T,None,None,1,ZNF445
64746|ZKSCAN1,1.50213175231784E-13,-12.8232919735934,Homo sapiens,ZKSCAN1,tf,K562,Erythroblast,Bone Marrow,1,ZKSCAN1
40166|TCF7L1,1.54654067330284E-13,-12.810638653767,Homo sapiens,TCF7L1,tf,Kasumi-1,Myeloblast,Blood,1,TCF7L1
56040|RAD21,1.55708779203678E-13,-12.8076869002628,Homo sapiens,RAD21,not sure,HepG2,Epithelium,Liver,1,RAD21
7343|HNF4A,1.57429624891847E-13,-12.802913539344,Homo sapiens,HNF4A,tf,HepG2,Epithelium,Liver,1,HNF4A
76520|BPTF,2.03836947321179E-13,-12.6907170933258,Homo sapiens,BPTF,tf,None,Erythroid Cell,None,1,BPTF
50398|MYB,2.26929586233382E-13,-12.6441088787283,Homo sapiens,MYB,tf,Jurkat,T Lymphocyte,Blood,1,MYB
33434|SMARCA4,2.30149233004795E-13,-12.6379904680971,Homo sapiens,SMARCA4,cr,None,B Lymphocyte,Blood,1,SMARCA4
55405|KMT2D,2.44970710383541E-13,-12.6108858384078,Homo sapiens,KMT2D,cr,OCI-Ly7,B cell lymphoma,Blood,1,KMT2D
49482|ZNF92,2.55573340268711E-13,-12.5924844508972,Homo sapiens,ZNF92,tf,None,Retinal pigment cell,None,1,ZNF92
46175|FOSL1,2.57682764015499E-13,-12.5889146297351,Homo sapiens,FOSL1,tf,H1,Embryonic Stem Cell,Embryo,1,FOSL1
64322|ZNF362,2.67397215480969E-13,-12.5728431195406,Homo sapiens,ZNF362,,HEK293,Epithelium,Embryonic Kidney,1,ZNF362
2748|CREBBP,2.68840505412982E-13,-12.5705052968084,Homo sapiens,CREBBP,cr,T98G,None,Brain,1,CREBBP
62579|TARDBP,2.86937140714372E-13,-12.5422132336873,Homo sapiens,TARDBP,,K562,Erythroblast,Bone Marrow,1,TARDBP
62681|ZNF16,2.99482660892636E-13,-12.5236283168361,Homo sapiens,ZNF16,,HEK293,Epithelium,Embryonic Kidney,1,ZNF16
58019|CHD1,3.45057316053499E-13,-12.4621087600621,Homo sapiens,CHD1,predicted chromatin regulator,LNCaP,Epithelium,Prostate,1,CHD1
62869|ARNT,3.7514436002084E-13,-12.4258015784161,Homo sapiens,ARNT,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,ARNT
64914|BCL3,4.07174294281276E-13,-12.3902196476757,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1,BCL3
45903|RCOR1,4.1483483315119E-13,-12.3821247835988,Homo sapiens,RCOR1,both predicted transcription factor and chromatin regulator,K562,Erythroblast,Bone Marrow,1,RCOR1
8781|KDM5C,4.19053680644765E-13,-12.3777303404835,Homo sapiens,KDM5C,cr,K562,Erythroblast,Bone Marrow,0,KDM5C
57165|CDK8,4.32598401545192E-13,-12.3639150896158,Homo sapiens,CDK8,tf,MOLM-14,Myeloid Cell,None,1,CDK8
45789|CEBPB,4.48086012738713E-13,-12.3486386126261,Homo sapiens,CEBPB,tf,HepG2,Epithelium,Liver,1,CEBPB
2095|NFYB,4.52138326778595E-13,-12.3447286772105,Homo sapiens,NFYB,tf,K562,Erythroblast,Bone Marrow,1,NFYB
62672|HES1,5.07260899951234E-13,-12.2947686121353,Homo sapiens,HES1,tf,K562,Erythroblast,Bone Marrow,1,HES1
70731|FOXK1,5.32296429156531E-13,-12.2738464472272,Homo sapiens,FOXK1,tf,HEK293,HEK 293 Cell Line,None,1,FOXK1
63600|DDX20,5.42454969831852E-13,-12.2656363075536,Homo sapiens,DDX20,,K562,Erythroblast,Bone Marrow,1,DDX20
49467|598-SKD,5.56221735337203E-13,-12.2547520443238,Homo sapiens,598-SKD,other,MCF-7,Epithelium,Breast,1,598-SKD
62909|NR2F2,5.82311976415895E-13,-12.2348442776614,Homo sapiens,NR2F2,tf,None,None,Liver,1,NR2F2
64798|CREM,6.00963723229597E-13,-12.2211517430999,Homo sapiens,CREM,tf,HepG2,Epithelium,Liver,1,CREM
45893|RFX5,6.22391027604863E-13,-12.2059366767667,Homo sapiens,RFX5,tf,K562,Erythroblast,Bone Marrow,1,RFX5
46242|RXRA,6.39155395276703E-13,-12.1943935407359,Homo sapiens,RXRA,tf,HepG2,Epithelium,Liver,1,RXRA
63365|ZNF318,6.67965682765725E-13,-12.1752458491537,Homo sapiens,ZNF318,,K562,Erythroblast,Bone Marrow,1,ZNF318
63520|SUZ12,7.17204073907851E-13,-12.1443572521959,Homo sapiens,SUZ12,cr,K562,Erythroblast,Bone Marrow,1,SUZ12
65062|ZNF467,7.18258785781245E-13,-12.1437190529894,Homo sapiens,ZNF467,,HEK293,Epithelium,Embryonic Kidney,1,ZNF467
76528|EPC1,7.25031146231459E-13,-12.1396433364002,Homo sapiens,EPC1,tf,K562,Lymphoblast,None,1,EPC1
42722|HOXA6,8.29558643999917E-13,-12.081152906969,Homo sapiens,HOXA6,tf,LoVo,None,Colon,1,HOXA6
52249|AR,8.30613355873311E-13,-12.0806010899184,Homo sapiens,AR,tf,None,Granulosa cell,Ovary,1,AR
45638|CHD2,8.79185613200662E-13,-12.0559194272255,Homo sapiens,CHD2,cr,GM12878,B Lymphocyte,Blood,1,CHD2
70759|OGT,9.08662034504459E-13,-12.0415976171546,Homo sapiens,OGT,other,HEK293,HEK 293 Cell Line,None,1,OGT
